text,main_category,sub_category,priority_level,severity_score
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please There are rats and mosquitoes due to waste accumulation and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Children cannot safely walk to school using this road as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The situation is becoming worse day by day and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Access is affected and people cannot reach easily for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
"Please The road is damaged requesting you to and waste is also dumped nearby for the past few days. Also, waste is seen along the street sometimes.",road,access_mobility,1,37
I want to report Pedestrians cannot walk because waste is spread near our houses.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage is dumped near the road and causes traffic problems.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,26
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently Pedestrians cannot walk because waste is spread and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
Kindly Garbage causes bad smell and mosquitoes breeding in our area.,garbage,health_risk,1,37
I want to report There is no proper route facility it is becoming in our locality as soon as possible.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: The situation is becoming worse day by day for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Waste is rotting and may we are facing spread diseases near our houses. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Kindly Children are affected due to kindly look into insects and waste here. The street condition also makes cleaning difficult.,garbage,health_risk,1,36
"Urgently We need a proper road connection in our area near our houses. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,22
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is blocking part of the street and people are affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly The street this is affecting us is partially not passable because of waste near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
We request Children cannot safely walk to school using this road as soon as possible.,road,access_mobility,1,40
We request There is no actually proper road facility in our locality near our houses.,road,infrastructure_gap,2,20
Our area does not have a usable road for vehicles and it needs action.,road,infrastructure_gap,2,20
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please The street is partially obstructed because of garbage and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Children are affected due to insects and waste here as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request We are facing inconvenience daily.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Pedestrians cannot walk because waste is spread.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently People are facing difficulty please consider because of route issues and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Waste is blocking patr to be honest of the street and people are affected and it needs action.,garbage,recurring_garbage_point,2,24
"This complaint is related to garbage infrastructure. The citizen reports the following issue: There are rats and mosquitoes due to waste accumulation.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: We request The we are suffering street is damaged and waste is also dumped nearby and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass and waste is piled up on the side.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage accumulation makse it hard to use the street.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to road infrastructure. The citizen reports the following issue: Ambulance access is difficult due to requesting you to street condition and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
Please solid waste accumulation makes it hard to use the road in our area.,garbage,recurring_garbage_point,2,24
I want to report Please look into this issue in our area.,garbage,missed_collection,3,12
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Road condition is bad and cleaning vehicles avoid this street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Ambulance access is difficult it is becoming due to road condition in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
Garbage is dumped near the road and causes traffic problems.,garbage,recurring_garbage_point,2,25
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report lane condition please consider is bad and cleaning vehicles avoid this street as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Our area does not have a usable road for vehicles and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Garbage accumulation this is affecting us makes it hard to use the road for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Requesting authorities actually to take action and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Access is affected requesting you to and people cannot reach easily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please look into this issue.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is blocking access and movement is affected for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Pedestrians cannot walk because waste we are facing is spread as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
Urgently Vehicles cannot pass and waste is piled up on the side.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: Please We need to be honest a proper route connection in our area and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
I want to report Waste is blocking part of the street and people are affected.,garbage,recurring_garbage_point,2,24
"This complaint is related to road infrastructure. The citizen reports the following issue: Children cannot safely walk to school using this route for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage causes bad smell and mosquito breeding.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Kindly This has been going on for many days for the past few days.,garbage,missed_collection,3,13
Please Our actually area does not have a usable road for vehicles as soon as possible.,road,infrastructure_gap,2,20
Kindly Waste is blocking access and movement is affected.,garbage,access_mobility,1,34
There are rats and insectses kindly look into due to waste accumulation as soon as possible.,garbage,health_risk,1,37
Urgently This problem has been we are suffering there for some time.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Please check the condition in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
The road is damaged and garbage is also dumped nearby.,road,access_mobility,1,37
I want to report Children cannot safely walk to school using this road and it needs action.,road,access_mobility,1,40
Please Garbage causes bad smell and mosquitoes please consider breeding.,garbage,health_risk,1,37
Please Please provide a new road connection for our street and it needs action.,road,infrastructure_gap,2,20
There are actually rats and insectses due to waste accumulation near our houses.,garbage,health_risk,1,37
I want to report access is difficult due to road condition as soon as possible.,road,access_mobility,1,39
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently People are facing difficulty because of road issues near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Kindly Pedestrians cannot walk because waste is spread.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Garbage it is becoming causes bad smell and mosquito breeding for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
Please Children are affected due to insects and waste here.,garbage,health_risk,1,35
Urgently The road is damaged and requesting you to garbage is also dumped nearby in our area.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Vehicles cannot pass because the route please consider is blocked for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently Requesting authorities to take action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,15
Urgently The street is partially closed because of garbage.,garbage,access_mobility,1,36
I want to report Children are affected due to insects and waste here in our area.,garbage,health_risk,1,35
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report This has been going on for many days in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is blocking part of the street and people are affected as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
"This complaint is related to road infrastructure. The citizen reports the following issue: Please check the condition we are facing in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
We request There is no proper road facility in our locality and it needs action.,road,infrastructure_gap,2,20
"Please check the condition in our area near our houses. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,18
I want to report Waste is rotting and may please consider spread infection risks near our houses.,garbage,health_risk,1,35
Urgently The situation is becoming worse day by day and it needs action.,road,infrastructure_gap,2,20
Kindly Garbage is dumped near the road and causes traffic problems for the past few days.,garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage blocks the road and vehicles cannot pass for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
Kindly Ambulance access is difficult it is becoming due to road condition in our area.,road,access_mobility,1,40
Kindly Please provide a new road connection for our street for the past few days.,road,infrastructure_gap,2,20
I want to report Waste is blocking access and requesting you to movement is affected near our houses.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: solid waste is dumped to be honest near the route and causes traffic problems as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,26
Kindly Waste is blocking part of the street and people are affected as soon as possible.,garbage,recurring_garbage_point,2,24
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently Please look into this issue and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,15
Please The street is partially obstructed because of garbage and it needs action.,garbage,access_mobility,1,34
"Kindly Road condition is bad and cleaning vehicles avoid this street and it needs action. Also, waste is seen along the street sometimes.",road,access_mobility,1,36
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Garbage accumulation makes it hard to use the road for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,25
Garbage accumulation makse it hard to use the street.,garbage,recurring_garbage_point,2,24
"Kindly Our area does not have a usable road for vehicles and it needs action. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,20
Please Please provide a new street connection for our street and it needs action.,road,infrastructure_gap,2,20
I want to report We need a proper road connection in our area for the past few days.,road,infrastructure_gap,2,20
"This complaint is related to garbage infrastructure. The citizen reports the following issue: waste blocks the road and vehicles cannot pass near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,37
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please provide a new street connection for our street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to road infrastructure. The citizen reports the following issue: We request The situation is becoming worse day by day for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking access and requesting you to movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,35
"Urgently Our area does not have a usable road for vehicles and it needs action. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,22
"Kindly Vehicles cannot it is becoming pass because the route is blocked near our houses. Also, waste is seen along the street sometimes.",road,access_mobility,1,40
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Requesting authorities to take please consider action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
Kindly Access is affected requesting you to and people cannot reach easily near our houses.,road,access_mobility,1,38
"This complaint is related to road infrastructure. The citizen reports the following issue: We request We need a proper road connection in our area and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Garbage causes bad smell and mosquito breeding as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please We are facing inconvenience daily and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,14
I want to report Pedestrians actually cannot walk because waste is spread and it needs action.,garbage,access_mobility,1,34
Please We need to be honest a proper route connection in our area and it needs action.,road,infrastructure_gap,2,20
Kindly Garbage blocks the route and vehicles cannot pass.,garbage,access_mobility,1,36
Urgently This has been going on for many days and it needs action. The street condition also makes cleaning difficult.,garbage,missed_collection,3,15
I want to report People are facing difficulty because of this is affecting us route issues as soon as possible.,road,infrastructure_gap,2,19
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly This has been going on for many days and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to garbage infrastructure. The citizen reports the following issue: There are rats and insectses kindly look into due to waste accumulation as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,38
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Children are affected due to insects we are suffering and waste here as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
"Urgently The situation is becoming worse day by day in our area. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report There is no proper route facility in our locality as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Pedestrians cannot walk because waste is spread near our houses. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,access_mobility,1,36
I want to report solid waste is dumped near the lane and causes traffic problems for the past few days.,garbage,recurring_garbage_point,2,25
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Children are affected due to insects and waste here.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Please look into this it is becoming issue for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
I want to report Vehicles cannot pass because the route please consider is blocked for the past few days.,road,access_mobility,1,40
We request Please check the condition in our area.,road,infrastructure_gap,2,18
Please We need it is becoming a proper road connection in our area.,road,infrastructure_gap,2,20
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Children are affected due to kindly look into insects and waste here. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,37
I want to report lane condition please consider is bad and cleaning vehicles avoid this street as soon as possible.,road,access_mobility,1,36
"Urgently Please provide actually a new road connection for our street. Also, waste is seen along the street sometimes.",road,infrastructure_gap,2,22
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Ambulance access is difficult due to road condition.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
We request Requesting authorities to take action and it needs action.,garbage,missed_collection,3,12
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Children cannot safely walk to school using this road and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report The situation is becoming worse day by day and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,19
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Ambulance access is difficult due to street condition as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
I want to report There is no proper route facility in our locality as soon as possible.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently This problem has been we are suffering there for some time.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Kindly Requesting authorities to be honest to take action for the past few days.,garbage,missed_collection,3,12
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please solid waste is dumped near the road and causes traffic problems as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,recurring_garbage_point,2,26
Please There is no proper route facility in our locality.,road,infrastructure_gap,2,20
I want to report This has been going on for many days in our area.,garbage,missed_collection,3,13
I want to report Pedestrians cannot walk because waste is spread near our houses. The street condition also makes cleaning difficult.,garbage,access_mobility,1,35
Please This has been going on for many days.,garbage,missed_collection,3,13
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Access is affected and people cannot reach easily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
I want to report Our area does this is affecting us not have a usable road for vehicles near our houses.,road,infrastructure_gap,2,20
This problem has been there for some time near our houses.,road,infrastructure_gap,2,18
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Requesting authorities to be honest to take action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,missed_collection,3,13
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Children cannot safely walk to using this lane in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,39
Urgently Vehicles cannot pass because the road is blocked and it needs action.,road,access_mobility,1,40
Please Please provide a new road connection for our street as soon as possible.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: Please The road is damaged requesting you to and waste is also dumped nearby for the past few days. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,38
Please Waste is blocking access and movement is affected for the past few days.,garbage,access_mobility,1,34
We request We need a proper road connection in our area and it needs action.,road,infrastructure_gap,2,20
Urgently Please look into this issue and it needs action.,garbage,missed_collection,3,14
"This complaint is related to road infrastructure. The citizen reports the following issue: Please We need it is becoming a proper road connection in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Children cannot safely actually walk to school using this road for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
I want to report Waste is blocking part of the street and people aer affected in our area.,garbage,recurring_garbage_point,2,24
I want to report Waste is rotting and may spread diseases in our area.,garbage,health_risk,1,37
