text,main_category,sub_category,priority_level
We request Children are this is affecting us affected due to insects and waste here for the past few days., garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently We need a proper road connection in our area near our houses. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
Please solid waste accumulation makes it hard to use the road in our area., garbage      , recurring_garbage_point,2
Please provide a new street connection for our street and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Kindly This has been going on for many days for the past few days., garbage      , missed_collection      ,3
Urgently Vehicles cannot pass and waste is piled up on the side., road         , access_mobility        ,1
Kindly Ambulance access is difficult it is becoming due to road condition in our area., road         , access_mobility        ,1
Kindly People are facing difficulty because of road issues near our houses., road         , infrastructure_gap     ,2
Kindly Requesting authorities to be honest to take action for the past few days., garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: There are actually rats and insectses due to waste accumulation near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
I want to report Road condition is bad and cleaning vehicles avoid this street and it needs action., road         , access_mobility        ,1
Urgently Please look into this issue and it needs action., garbage      , missed_collection      ,3
Urgently The street is partially closed because of garbage., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Ambulance access is difficult due to requesting you to street condition and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Access is affected and kindly look into people cannot reach easily in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Kindly Access is affected requesting you to and people cannot reach easily near our houses., road         , access_mobility        ,1
We request solid waste blocks the road and vehicles cannot pass near our houses., garbage      , access_mobility        ,1
I want to report There is no proper route facility in our locality as soon as possible., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly Please provide a new road connection for our street for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
Please Waste is rotting and may we are facing spread infection risks., garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request solid waste blocks the road and vehicles cannot pass near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Pedestrians cannot walk because waste is spread.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
Kindly Garbage blocks the road and vehicles cannot pass for the past few days., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report access is difficult due to road condition as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently Pedestrians cannot walk because waste is spread and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Garbage accumulation makes it hard to use the road for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Please look into this it is becoming issue for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: We request The situation is becoming worse day by day for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
I want to report Please look into this issue in our area., garbage      , missed_collection      ,3
Please We are facing inconvenience daily and it needs action., garbage      , missed_collection      ,3
Please Garbage is dumped near the route and causes traffic problems for the past few days., garbage      , recurring_garbage_point,2
I want to report Waste is rotting and may please consider spread infection risks near our houses., garbage      , health_risk            ,1
Urgently Children cannot safely actually walk to school using this road for the past few days., road         , access_mobility        ,1
We request We need a proper road connection in our area and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Access is affected and people cannot reach easily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
We request This problem has been there for some time as soon as possible., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please waste accumulation makes it hard to use the lane as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
Please Please check the condition in our area., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is it is becoming blocking access and movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
Kindly Garbage causes bad smell and mosquito breeding., garbage      , health_risk            ,1
"Urgently The situation is becoming worse day by day in our area. Also, waste is seen along the street sometimes.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Waste is blocking access and movement is affected near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
I want to report The situation is becoming worse day by day and it needs action., road         , infrastructure_gap     ,2
Urgently Ambulance access is difficult due to street condition as soon as possible., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: The road is damaged and garbage is also dumped nearby.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Please Garbage accumulation makes it hard to use the road for the past few days., garbage      , recurring_garbage_point,2
"I want to report Please check the condition in our area. Also, waste is seen along the street sometimes.", road         , infrastructure_gap     ,2
Kindly Garbage causes bad smell and mosquitoes breeding in our area., garbage      , health_risk            ,1
solid waste is dumped to be honest near the route and causes traffic problems as soon as possible., garbage      , recurring_garbage_point,2
Urgently Access is affected and kindly look into people cannot reach easily in our area., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Road condition is bad and cleaning vehicles avoid this street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request We are facing inconvenience daily.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request Requesting authorities actually to take action and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
Please There is no proper route facility in our locality., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently solid waste causes bad smell and mosquito breeding near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request There is no proper road facility in our locality and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The situation is becoming worse day by day and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Requesting authorities to be honest to take action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: waste blocks the road and vehicles cannot pass near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"Urgently Our area does not have a usable road for vehicles and it needs action. Also, waste is seen along the street sometimes.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Garbage is dumped near the route and causes traffic problems for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request We are facing inconvenience daily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
We request Our area does not have a usable road for vehicles and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage causes bad smell and mosquitoes breeding in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
I want to report Pedestrians actually cannot walk because waste is spread and it needs action., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass because the road is blocked and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
I want to report There is no proper route facility it is becoming in our locality as soon as possible., road         , infrastructure_gap     ,2
We request There is no actually proper road facility in our locality near our houses., road         , infrastructure_gap     ,2
Urgently This has been going on for many days and it needs action., garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Waste is blocking patr to be honest of the street and people are affected and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
I want to report Waste is blocking part of the street and people are affected., garbage      , recurring_garbage_point,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: We request There are rats this is affecting us and mosquitoes due to waste accumulation and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
Please Please provide a new street connection for our street and it needs action., road         , infrastructure_gap     ,2
Urgently The road is damaged and requesting you to garbage is also dumped nearby in our area., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The road is damaged and requesting you to garbage is also dumped nearby in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is rotting and may please consider spread infection risks near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
The road is damaged and garbage is also dumped nearby., road         , access_mobility        ,1
Please This has been going on for many days., garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Waste is rotting and may spread diseases as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
Our area does not have a usable road for vehicles and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly People are facing difficulty because of road issues near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Children are affected due to insects we are suffering and waste here as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is blocking part of the street and people are affected.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
We request There is no proper road facility in our locality and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: We request We need a proper road connection in our area and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is rotting and may spread diseases in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
Kindly People are facing difficulty because of road issues for the past few days., road         , infrastructure_gap     ,2
We request Children cannot safely walk to school using this road as soon as possible., road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Waste is rotting and may we are facing spread infection risks.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Please check the condition in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Pedestrians cannot walk because waste we are facing is spread as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request This problem has been there for some time for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Requesting authorities to take please consider action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
Kindly This has been going on for many days and it needs action., garbage      , missed_collection      ,3
Kindly We need we are facing a proper route connection in our area., road         , infrastructure_gap     ,2
We request Access is affected and people cannot reach easily and it needs action., road         , access_mobility        ,1
We request Garbage to be honest blocks the road and vehicles cannot pass. The street condition also makes cleaning difficult., garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please We are facing inconvenience daily and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report The street is partially obstructed because of garbage near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
We request Please check the condition in our area and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage blocks the road and vehicles cannot pass for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently The situation is becoming worse day by day in our area. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: We request This problem has been there for some time as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Ambulance access is difficult due to road condition.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
I want to report lane condition please consider is bad and cleaning vehicles avoid this street as soon as possible., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Children cannot requesting you to safely walk to school using this road and it needs action. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Ambulance access is difficult to be honest due to route condition as soon as possible., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Road condition is bad and cleaning vehicles avoid this street near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Vehicles cannot pass and waste is piled up on the side in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
I want to report Requesting authorities to take action for the past few days., garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: This problem has been there for some time near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report lane condition please consider is bad and cleaning vehicles avoid this street as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly We need we are facing a proper route connection in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Ambulance access is difficult due to street condition as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
I want to report Garbage blocks the road and vehicles cannot pass in our area., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Please The road is damaged requesting you to and waste is also dumped nearby for the past few days. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
Urgently The situation is becoming worse day by day and it needs action., road         , infrastructure_gap     ,2
We request Waste is blocking access and movement is affected near our houses., garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please This has been going on for many days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please provide a new road connection for our street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Requesting authorities to take action for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: Please check the condition in our area near our houses. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Our actually area does not have a usable road for vehicles as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
Please Vehicles cannot pass and waste is piled up on the side as soon as possible., road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Urgently The street is partially blocked because of garbage as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report The situation is becoming worse day by day and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly This has been going on for many days and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
Please look into we are facing this issue as soon as possible., garbage      , missed_collection      ,3
Kindly Waste is blocking access and movement is affected., garbage      , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Please look into this issue in our area.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly The street this is affecting us is partially not passable because of waste near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , access_mobility        ,1
I want to report The road is damaged and garbage this is affecting us is also dumped nearby for the past few days., road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: We request The we are suffering street is damaged and waste is also dumped nearby and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
We request Requesting authorities to take action and it needs action., garbage      , missed_collection      ,3
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Waste is rotting and may spread diseases.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly Garbage accumulation makes it hard to use the road in our area. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , recurring_garbage_point,2
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report The road is damaged and garbage this is affecting us is also dumped nearby for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Please look into this issue in our area. The street condition also makes cleaning difficult.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
